times,athletes,country,date,city
9.58,Usain Bolt,16/08/2009,Berlin
9.69,Usain Bolt,16/09/2008,Beijing
9.72,Usain Bolt,31/05/2008,New York
9.74,Asafa Powell,09/09/2007,Rieti
9.77,Asafa Powell,18/08/2006,Zurich
